0,1006,519,487,1006,519,487,0,0,0
1,1098,574,524,1098,574,524,0,0,0
2,1181,612,569,1181,612,569,0,0,0
3,1170,582,588,1170,582,588,0,0,0
4,1091,533,558,1091,533,558,0,0,0
5,1028,512,516,1028,512,516,0,0,0
6,986,496,490,986,496,490,0,0,0
7,933,478,455,933,478,455,0,0,0
8,906,472,434,906,472,434,0,0,0
9,876,446,430,876,446,430,0,0,0
10,865,450,415,865,450,415,0,0,0
11,903,485,418,903,485,418,0,0,0
12,902,485,417,902,485,417,0,0,0
13,908,471,437,908,471,437,0,0,0
14,946,466,480,946,466,480,0,0,0
15,996,501,495,996,501,495,0,0,0
16,1013,519,494,1013,519,494,0,0,0
17,1057,524,533,1057,524,533,0,0,0
18,1144,559,585,1144,559,585,0,0,0
19,1167,566,601,1167,566,601,0,0,0
20,1381,669,712,1381,669,712,0,0,0
21,1686,812,874,1686,812,874,0,0,0
22,1828,894,934,1828,894,934,0,0,0
23,1914,934,980,1914,934,980,0,0,0
24,1973,943,1030,1973,943,1030,0,0,0
25,2018,985,1033,2018,985,1033,0,0,0
26,2072,1024,1048,2072,1024,1048,0,0,0
27,2191,1062,1129,2191,1062,1129,0,0,0
28,2304,1108,1196,2304,1108,1196,0,0,0
29,2240,1104,1136,2240,1104,1136,0,0,0
30,2163,1068,1095,2163,1068,1095,0,0,0
31,2152,1045,1107,2152,1045,1107,0,0,0
32,2176,1057,1119,2176,1057,1119,0,0,0
33,2164,1057,1107,2164,1057,1107,0,0,0
34,2118,1048,1070,2118,1048,1070,0,0,0
35,2055,1031,1024,2055,1031,1024,0,0,0
36,1989,979,1010,1989,979,1010,0,0,0
37,1940,945,995,1940,945,995,0,0,0
38,1823,887,936,1823,887,936,0,0,0
39,1710,836,874,1710,836,874,0,0,0
40,1638,821,817,1638,821,817,0,0,0
41,1566,782,784,1566,782,784,0,0,0
42,1510,754,756,1510,754,756,0,0,0
43,1435,704,731,1435,704,731,0,0,0
44,1401,678,723,1401,678,723,0,0,0
45,1434,696,738,1434,696,738,0,0,0
46,1447,697,750,1447,697,750,0,0,0
47,1463,697,766,1463,697,766,0,0,0
48,1515,721,794,1515,721,794,0,0,0
49,1529,739,790,1529,739,790,0,0,0
50,1543,752,791,1543,752,791,0,0,0
51,1614,795,819,1614,795,819,0,0,0
52,1780,845,935,1780,845,935,0,0,0
53,1951,892,1059,1951,892,1059,0,0,0
54,1964,882,1082,1964,882,1082,0,0,0
55,1985,900,1085,1985,900,1085,0,0,0
56,2049,955,1094,2049,955,1094,0,0,0
57,2058,937,1121,2058,937,1121,0,0,0
58,2023,920,1103,2023,920,1103,0,0,0
59,1996,904,1092,1996,904,1092,0,0,0
60,1960,883,1077,1960,883,1077,0,0,0
61,1885,862,1023,1885,862,1023,0,0,0
62,1840,812,1028,1840,812,1028,0,0,0
63,1752,763,989,1752,763,989,0,0,0
64,1642,709,933,1642,709,933,0,0,0
65,1517,628,889,1517,628,889,0,0,0
66,1221,507,714,1221,507,714,0,0,0
67,1035,445,590,1035,445,590,0,0,0
68,991,436,555,991,436,555,0,0,0
69,932,396,536,932,396,536,0,0,0
70,13371,4865,8506,13371,4865,8506,0,0,0